,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cidreira,12,BR,1584716635,71,-30.18,-50.21,71.15,16.42
1,Vaini,75,TO,1584716635,88,-21.2,-175.2,77.0,11.41
2,Upernavik,0,GL,1584716635,93,72.79,-56.15,-13.43,8.61
3,Rusape,93,ZW,1584716635,58,-18.53,32.13,73.69,8.48
4,Kaeo,2,NZ,1584716635,93,-35.1,173.78,60.01,8.34
5,Paamiut,100,GL,1584716635,67,61.99,-49.67,18.79,8.12
6,Katangli,100,RU,1584716635,88,51.71,143.23,22.03,17.87
7,Dul'durga,53,RU,1584716636,64,50.68,113.59,21.13,5.86
8,Lebu,0,CL,1584716636,30,-37.62,-73.65,71.89,4.56
9,Meulaboh,0,ID,1584716636,63,4.14,96.13,85.03,2.57
10,Sinnamary,98,GF,1584716636,76,5.38,-52.95,80.15,10.92
11,Ushuaia,75,AR,1584716636,87,-54.8,-68.3,42.8,24.16
12,Tura,0,IN,1584716636,33,25.52,90.22,72.05,3.2
13,Lompoc,90,US,1584716402,81,34.64,-120.46,50.0,6.93
14,Lata,75,PT,1584716637,100,40.16,-8.33,57.0,5.82
15,Khatanga,100,RU,1584716637,94,71.97,102.5,-7.85,15.73
16,Debre Tabor,24,ET,1584716637,24,11.85,38.02,77.29,12.73
17,Niagara Falls,90,CA,1584716492,93,43.1,-79.07,66.2,21.92
18,Abnūb,0,EG,1584716637,26,27.27,31.15,66.65,16.17
19,Andros Town,6,BS,1584716637,75,24.7,-77.77,78.01,4.0
20,Geraldton,75,AU,1584716637,78,-28.77,114.6,73.4,13.87
21,San Cristobal,75,VE,1584716637,94,7.77,-72.22,75.2,3.36
22,Mataura,100,NZ,1584716637,85,-46.19,168.86,45.0,5.01
23,Yellowknife,20,CA,1584716349,84,62.46,-114.35,16.0,4.7
24,Morristown,75,US,1584716455,93,36.21,-83.29,69.01,11.41
25,Kaitangata,100,NZ,1584716638,68,-46.28,169.85,50.0,15.82
26,Gigmoto,67,PH,1584716638,79,13.78,124.39,81.43,12.17
27,Bluff,98,NZ,1584716638,85,-46.6,168.33,45.0,5.01
28,Rikitea,100,PF,1584716638,79,-23.12,-134.97,79.09,13.78
29,Bengkulu,100,ID,1584716638,87,-3.8,102.27,75.31,2.71
30,Sobolevo,9,RU,1584716638,54,54.43,31.9,43.09,7.02
31,New Norfolk,90,AU,1584716638,82,-42.78,147.06,57.2,8.05
32,Port Shepstone,17,ZA,1584716638,77,-30.74,30.45,79.45,4.43
33,Mezen',100,RU,1584716638,94,65.85,44.24,18.95,8.34
34,Santa Isabel Rio Negro,91,BR,1584716638,54,-0.41,-65.02,88.99,3.8
35,Talnakh,0,RU,1584716638,75,69.49,88.4,-13.0,8.95
36,Barrow,90,US,1584716484,92,71.29,-156.79,30.2,23.04
37,Thompson,5,CA,1584716368,68,55.74,-97.86,-16.6,2.24
38,Olinda,40,BR,1584716639,62,-8.01,-34.86,87.8,9.17
39,Punta Arenas,75,CL,1584716400,81,-53.15,-70.92,46.4,28.86
40,Castro,34,BR,1584716408,57,-24.79,-50.01,77.29,5.86
41,Atuona,55,PF,1584716639,77,-9.8,-139.03,81.79,14.45
42,Baykit,100,RU,1584716639,95,61.67,96.37,23.45,5.7
43,Gorontalo,100,ID,1584716639,95,0.54,123.06,74.95,3.4
44,Nikolskoye,20,RU,1584716639,55,59.7,30.79,35.6,13.42
45,Butaritari,41,KI,1584716639,81,3.07,172.79,81.95,16.2
46,Lillesand,0,NO,1584716639,52,58.25,8.38,42.8,11.41
47,Tuatapere,100,NZ,1584716639,85,-46.13,167.68,45.0,5.01
48,Solnechnyy,98,RU,1584716639,88,50.72,136.63,17.71,6.58
49,Novobirilyussy,100,RU,1584716639,95,56.95,90.67,30.31,10.51
50,Constitución,0,CL,1584716640,41,-35.33,-72.42,67.03,6.38
51,Esmeraldas,75,BR,1584716414,94,-19.76,-44.31,77.0,4.7
52,Gobabis,58,NA,1584716640,48,-22.45,18.97,82.4,9.17
53,Marau,0,BR,1584716430,48,-28.45,-52.2,75.31,3.33
54,Jamestown,90,US,1584716472,93,42.1,-79.24,64.0,19.46
55,Jalingo,100,NG,1584716431,14,8.88,11.37,103.21,6.26
56,Hirara,90,JP,1584716640,79,24.8,125.28,69.19,12.35
57,Palmer,90,US,1584716640,100,42.16,-72.33,52.0,9.17
58,Cockburn Town,0,TC,1584716640,73,21.46,-71.14,76.55,20.42
59,George Town,20,MY,1584716351,83,5.41,100.34,86.0,2.24
60,Puerto Ayora,40,EC,1584716640,83,-0.74,-90.35,81.0,6.93
61,Chui,0,UY,1584716641,47,-33.7,-53.46,77.11,6.76
62,Belmonte,40,BR,1584716641,66,-15.86,-38.88,87.8,10.29
63,Cherskiy,0,RU,1584716641,81,68.75,161.3,-18.65,13.18
64,Henties Bay,0,NA,1584716641,85,-22.12,14.28,64.99,1.99
65,Arrondissement de Langres,98,FR,1584716641,59,47.83,5.33,68.0,2.24
66,Busselton,0,AU,1584716641,52,-33.65,115.33,66.0,15.77
67,Tyrma,100,RU,1584716641,91,50.08,132.17,20.23,1.43
68,San Quintín,57,MX,1584716641,68,30.48,-115.95,55.69,1.95
69,Jijiga,100,ET,1584716641,64,9.35,42.8,70.81,8.61
70,Port Alfred,25,ZA,1584716641,87,-33.59,26.89,68.0,5.99
71,Tasiilaq,75,GL,1584716641,85,65.61,-37.64,23.0,27.51
72,Tuktoyaktuk,90,CA,1584716641,100,69.45,-133.04,28.4,10.29
73,Mehamn,100,NO,1584716584,75,71.04,27.85,20.23,15.05
74,Tiksi,0,RU,1584716642,84,71.69,128.87,-18.47,10.09
75,Carnarvon,67,AU,1584716642,78,-24.87,113.63,80.6,13.87
76,Buraidah,82,SA,1584716642,17,26.33,43.98,82.4,11.41
77,Chokurdakh,18,RU,1584716642,93,70.63,147.92,-9.47,9.75
78,Moerai,100,PF,1584716642,82,-22.43,-151.33,78.91,6.42
79,Maniitsoq,100,GL,1584716642,86,65.42,-52.9,20.23,25.57
80,Saint-Philippe,90,RE,1584716642,65,-21.36,55.77,78.8,9.17
81,Cruzeiro do Sul,67,BR,1584716415,70,-29.51,-51.99,73.0,4.0
82,Bismarck,1,US,1584716583,56,46.81,-100.78,12.2,4.0
83,São Félix do Xingu,100,BR,1584716642,81,-6.64,-51.99,78.19,6.73
84,Dunedin,71,NZ,1584716586,68,-45.87,170.5,51.01,12.59
85,Hobart,90,AU,1584716419,82,-42.88,147.33,57.2,8.05
86,Bredasdorp,0,ZA,1584716643,41,-34.53,20.04,78.8,18.34
87,Garango,100,BF,1584716643,17,11.8,-0.55,104.11,7.7
88,Ivanteyevka,94,RU,1584716643,48,55.97,37.92,42.8,11.18
89,Mitú,67,CO,1584716643,53,1.2,-70.17,88.99,4.59
90,Vila Franca do Campo,20,PT,1584716643,51,37.72,-25.43,59.0,5.82
91,Zhigansk,0,RU,1584716643,96,66.77,123.37,-7.67,4.38
92,Banjarmasin,100,ID,1584716643,81,-3.32,114.59,79.81,2.19
93,Mvuma,67,ZW,1584716643,50,-19.28,30.53,75.65,10.54
94,Verkhnyaya Inta,94,RU,1584716644,94,65.98,60.31,15.35,11.92
95,Bechem,91,GH,1584716644,41,7.09,-2.02,94.93,1.7
96,East London,40,ZA,1584716644,88,-33.02,27.91,66.2,20.8
97,Saskylakh,32,RU,1584716644,91,71.92,114.08,-15.77,13.73
98,Kasane,40,BW,1584716644,54,-17.82,25.15,84.2,5.82
99,Nizip,75,TR,1584716644,81,37.01,37.79,42.8,8.05
100,Xenia,40,US,1584716644,82,39.68,-83.93,69.01,14.99
101,Bethel,90,US,1584716627,100,41.37,-73.41,53.01,4.7
102,Berlevåg,75,NO,1584716644,78,70.86,29.09,17.6,20.8
103,Avarua,100,CK,1584716526,88,-21.21,-159.78,77.0,1.12
104,Ormara,0,PK,1584716644,82,25.21,64.64,75.49,20.24
105,Airai,100,TL,1584716645,92,-8.93,125.41,66.13,3.42
106,Port Elizabeth,48,ZA,1584716645,69,-33.92,25.57,73.4,23.04
107,Yulara,0,AU,1584716645,21,-25.24,130.99,84.2,6.93
108,Rawson,17,AR,1584716645,57,-43.3,-65.1,66.49,10.98
109,Dudinka,0,RU,1584716645,75,69.41,86.18,-13.0,8.95
110,Mangai,99,CD,1584716645,52,-4.05,19.53,89.53,1.92
111,Mar del Plata,40,AR,1584716645,72,-38.0,-57.56,68.0,9.17
112,Kapaa,75,US,1584716645,94,22.08,-159.32,75.2,6.93
113,Albany,90,US,1584716646,81,42.6,-73.97,57.0,14.99
114,Pangnirtung,90,CA,1584716646,91,66.15,-65.71,-2.2,4.79
115,‘Āhuimanu,1,US,1584716646,83,21.44,-157.84,71.6,4.32
116,Oddur,100,SO,1584716646,55,4.12,43.89,82.51,13.33
117,Mokrousovo,100,RU,1584716646,96,55.81,66.77,32.45,12.19
118,Erzin,75,TR,1584716648,100,36.96,36.2,57.2,11.41
119,Babati,16,TZ,1584716648,83,-4.22,35.75,73.69,4.9
120,Ponta do Sol,20,PT,1584716648,52,32.67,-17.1,64.4,16.11
121,Klaksvík,100,FO,1584716648,69,62.23,-6.59,39.2,16.11
122,Dickinson,75,US,1584716648,88,29.46,-95.05,75.99,6.93
123,Bathsheba,40,BB,1584716648,66,13.22,-59.52,84.2,18.34
124,Manerbio,40,IT,1584716648,55,45.36,10.14,69.01,8.05
125,Hermanus,0,ZA,1584716648,81,-34.42,19.23,73.99,5.01
126,Bambanglipuro,100,ID,1584716648,86,-7.95,110.28,77.29,1.86
127,Inírida,84,CO,1584716406,70,3.87,-67.92,86.65,0.89
128,Amahai,100,ID,1584716649,92,-3.33,128.92,77.45,8.01
129,Qaanaaq,0,GL,1584716649,50,77.48,-69.36,-9.65,5.46
130,La Grande,1,US,1584716649,85,45.32,-118.09,42.01,0.36
131,Codrington,91,AU,1584716649,74,-38.27,141.97,59.11,11.79
132,Puerto Baquerizo Moreno,75,EC,1584716649,83,-0.9,-89.6,78.8,8.05
133,Nishihara,75,JP,1584716649,72,26.18,127.76,68.0,5.82
134,Shahrud,1,IR,1584716378,48,36.42,54.98,51.55,1.16
135,Bantry,75,IE,1584716649,52,51.68,-9.45,46.4,23.04
136,Arraial do Cabo,75,BR,1584716649,59,-22.97,-42.03,93.2,3.36
137,Kangaatsiaq,100,GL,1584716649,85,68.31,-53.46,21.49,34.61
138,Hilo,75,US,1584716405,78,19.73,-155.09,71.6,5.82
139,Hermitage,90,US,1584716458,93,41.23,-80.45,66.0,8.05
140,Praia da Vitória,75,PT,1584716432,59,38.73,-27.07,60.8,8.99
141,Bathurst,0,AU,1584716650,56,-33.42,149.58,59.0,4.25
142,Dezful,33,IR,1584716650,40,32.38,48.41,65.05,2.64
143,Kosh-Agach,9,RU,1584716650,74,50.0,88.67,7.09,2.19
144,Sar-e Pul,100,AF,1584716650,75,35.83,66.17,49.21,6.13
145,Mamlyutka,100,KZ,1584716650,94,54.94,68.54,33.73,15.12
146,La Ronge,40,CA,1584716650,62,55.1,-105.28,-13.0,5.88
147,Fairbanks,90,US,1584716650,80,64.84,-147.72,33.8,10.29
148,Guanhães,60,BR,1584716650,62,-18.77,-42.93,81.95,5.82
149,Acapulco de Juárez,5,MX,1584716650,83,16.86,-99.89,78.8,5.82
150,Malakal,67,SS,1584716651,7,9.53,31.66,100.15,5.48
151,Ponta Delgada,20,PT,1584716651,51,37.73,-25.67,59.0,5.82
152,Iqaluit,90,CA,1584716651,64,63.75,-68.51,1.4,8.05
153,Sittwe,31,MM,1584716651,70,20.15,92.9,78.73,13.91
154,Bonavista,67,CA,1584716651,81,48.65,-53.11,30.0,4.0
155,San Rafael,0,AR,1584716652,25,-34.62,-68.33,77.29,8.03
156,Tazovsky,86,RU,1584716652,93,67.47,78.7,-8.39,13.69
157,Ancud,90,CL,1584716652,100,-41.87,-73.82,57.2,3.36
158,Awjilah,0,LY,1584716652,22,29.11,21.29,70.09,14.34
159,Aklavik,90,CA,1584716653,64,68.22,-135.01,37.4,6.93
160,Easton,90,US,1584716653,87,40.69,-75.22,59.0,5.82
161,Caravelas,25,BR,1584716653,78,-17.71,-39.25,81.79,13.98
162,Kruisfontein,21,ZA,1584716653,72,-34.0,24.73,67.75,17.58
163,Kasamwa,85,TZ,1584716654,83,-2.85,32.43,75.31,2.95
164,Calamar,0,CO,1584716654,70,10.25,-74.91,84.2,4.7
165,Svetlaya,100,RU,1584716654,68,46.54,138.33,32.65,13.62
166,Sørkjosen,99,NO,1584716654,51,69.8,20.93,29.59,23.91
167,Fredericton,90,CA,1584716431,100,45.95,-66.67,42.01,11.41
168,Longyearbyen,40,SJ,1584716584,65,78.22,15.64,5.0,16.11
169,Husavik,75,IS,1584716365,60,66.04,-17.34,41.0,35.57
170,Mahébourg,75,MU,1584716654,61,-20.41,57.7,80.6,3.36
171,Cam Ranh,20,VN,1584716654,78,11.92,109.16,82.4,2.24
172,Yichang,10,CN,1584716655,63,30.71,111.28,65.23,5.1
173,Mitsamiouli,20,KM,1584716655,66,-11.38,43.28,89.6,9.17
174,Vrangel',55,RU,1584716655,73,42.73,133.08,37.33,12.15
175,Ust-Maya,100,RU,1584716655,91,60.42,134.53,13.39,4.85
176,Cape Town,20,ZA,1584716349,60,-33.93,18.42,75.99,16.11
177,Esim,79,GH,1584716593,61,4.87,-2.24,89.15,10.78
178,Wuwei,100,CN,1584716655,25,37.93,102.64,50.29,4.0
179,Karakol,100,KG,1584716632,47,42.49,78.39,38.05,5.08
180,Hobyo,32,SO,1584716656,71,5.35,48.53,84.13,12.84
181,San Patricio,90,MX,1584716656,94,19.22,-104.7,69.8,5.82
182,Blagodatnoye,100,RU,1584716656,66,45.4,42.59,44.6,13.42
183,Alihe,0,CN,1584716656,88,50.57,123.72,19.33,4.14
184,Nanortalik,100,GL,1584716656,59,60.14,-45.24,22.21,27.16
185,Keetmanshoop,20,NA,1584716567,14,-26.58,18.13,95.0,8.05
186,Hasaki,20,JP,1584716506,47,35.73,140.83,42.8,4.7
187,Turaif,40,SA,1584716524,47,31.67,38.66,55.4,11.41
188,Äänekoski,0,FI,1584716656,30,62.69,25.82,30.0,6.93
189,Spas-Demensk,33,RU,1584716656,65,54.41,34.02,39.65,4.5
190,Brza Palanka,0,RS,1584716657,39,44.47,22.44,65.23,5.77
191,Dikson,65,RU,1584716657,99,73.51,80.55,-14.87,14.07
192,Province of Mantua,17,IT,1584716657,42,45.17,10.78,70.0,5.82
193,Lagunas,89,PE,1584716657,60,-5.23,-75.68,85.93,4.05
194,Pisco,40,PE,1584716657,30,-13.7,-76.22,75.0,8.05
195,Herat Province,33,AF,1584716657,63,34.5,62.0,58.55,12.8
196,Norman Wells,75,CA,1584716657,79,65.28,-126.83,19.4,3.36
197,Saldanha,48,ZA,1584716659,60,-33.01,17.94,75.2,10.29
198,Atherton,0,GB,1584716659,39,53.52,-2.49,53.01,16.11
199,Half Moon Bay,20,US,1584716659,87,37.46,-122.43,48.0,8.05
200,Jyvaskyla,0,FI,1584716498,30,62.24,25.72,30.2,10.29
201,Clearlake,90,US,1584716547,100,38.96,-122.63,41.0,3.29
202,Beringovskiy,100,RU,1584716659,94,63.05,179.32,12.31,10.89
203,Wattegama,40,LK,1584716659,88,6.8,81.48,82.4,2.24
204,Ouargaye,100,BF,1584716659,20,11.5,0.06,103.39,5.3
205,Kavieng,99,PG,1584716659,75,-2.57,150.8,83.23,7.74
206,Labuhan,100,ID,1584716661,83,-6.88,112.21,77.83,2.59
207,Yangi Marg`ilon,100,UZ,1584716661,37,40.43,71.72,66.2,6.93
208,Katsuura,0,JP,1584716661,45,35.13,140.3,53.6,14.99
209,Deogarh,99,IN,1584716661,33,21.53,84.73,78.01,2.59
210,Aykhal,100,RU,1584716661,64,66.0,111.5,-2.2,2.24
211,El Alto,92,PE,1584716661,100,-4.27,-81.21,62.6,14.99
212,Derzhavīnsk,100,KZ,1584716661,83,51.1,66.32,34.09,10.56
213,Guerrero Negro,0,MX,1584716482,71,27.98,-114.06,57.85,12.19
214,Kalianget,43,ID,1584716661,74,-7.05,113.93,82.69,7.14
215,Hithadhoo,100,MV,1584716661,69,-0.6,73.08,84.85,5.35
216,Puerto Colombia,20,CO,1584716662,66,10.99,-74.95,84.2,2.24
217,Udachny,25,RU,1584716662,64,66.42,112.4,-2.2,2.24
218,Srednekolymsk,0,RU,1584716663,80,67.45,153.68,-10.55,9.15
219,Saint Paul Harbor,1,US,1584716663,55,57.79,-152.41,37.4,6.93
220,Takoradze,79,GH,1584716663,61,4.88,-1.76,89.15,10.78
221,Sept-Îles,90,CA,1584716663,92,50.2,-66.38,30.0,23.04
222,Omboué,100,GA,1584716663,88,-1.57,9.26,77.45,4.14
223,Makkah al Mukarramah,0,SA,1584716661,18,21.43,39.83,78.19,15.26
224,Honningsvåg,100,NO,1584716633,66,70.98,25.97,25.81,20.51
225,Brits,20,ZA,1584716663,39,-25.63,27.78,84.2,8.05
226,Genhe,0,CN,1584716663,86,50.78,121.52,13.03,4.07
227,Saint George,100,US,1584716397,93,37.1,-113.58,42.01,10.29
228,Ilulissat,75,GL,1584716664,79,69.22,-51.1,21.2,18.34
229,Padang,86,ID,1584716664,94,-0.95,100.35,69.35,2.89
230,Makakilo City,75,US,1584716664,100,21.35,-158.09,71.6,4.32
231,Grand Gaube,75,MU,1584716664,61,-20.01,57.66,80.6,3.36
232,Namatanai,96,PG,1584716664,74,-3.67,152.43,83.05,6.29
233,Coyhaique,75,CL,1584716664,59,-45.58,-72.07,64.4,6.93
234,Kumul,100,CN,1584716664,42,42.8,93.45,52.63,15.7
235,Fortuna,40,US,1584716664,100,40.6,-124.16,39.99,3.36
236,Pontal do Paraná,75,BR,1584716664,61,-25.65,-48.51,82.0,3.36
237,Xishan,40,CN,1584716664,52,27.67,113.5,69.8,4.47
238,Saint Anthony,1,US,1584716664,53,45.02,-93.22,24.01,18.34
239,Port-Cartier,90,CA,1584716664,92,50.03,-66.87,30.0,23.04
240,St. Marys,75,US,1584716374,73,30.73,-81.55,79.0,11.41
241,Sur,75,OM,1584716665,49,22.57,59.53,81.61,4.9
242,Pacific Grove,90,US,1584716665,93,36.62,-121.92,51.01,5.79
243,San Jerónimo,90,PE,1584716665,68,-11.95,-75.28,49.39,3.67
244,Bagdarin,98,RU,1584716665,76,54.43,113.6,6.35,5.32
245,Srīvardhan,0,IN,1584716665,78,18.03,73.02,74.05,7.18
246,Berbera,32,SO,1584716665,84,10.44,45.01,79.25,12.95
247,Taoudenni,0,ML,1584716665,10,22.68,-3.98,87.55,15.03
248,Klyuchi,0,RU,1584716665,85,52.27,79.17,27.43,11.81
249,Malanje,75,AO,1584716665,83,-9.54,16.34,80.6,10.29
250,Mombetsu,99,JP,1584716666,82,44.35,143.35,33.55,33.06
251,Ribeira Grande,75,PT,1584716666,67,38.52,-28.7,60.8,9.17
252,Alta Floresta,75,BR,1584716455,83,-9.88,-56.09,80.6,9.17
253,Crixás,58,BR,1584716666,76,-14.55,-49.97,81.43,5.3
254,Maningrida,100,AU,1584716666,80,-12.07,134.27,81.05,14.07
255,Porto-Novo,20,BJ,1584716666,79,6.5,2.6,86.0,14.99
256,Thibodaux,90,US,1584716666,83,29.8,-90.82,79.0,11.41
257,Lac du Bonnet,43,CA,1584716666,65,50.25,-96.06,1.99,4.5
258,Faanui,100,PF,1584716666,69,-16.48,-151.75,83.23,7.83
259,Tsuruoka,83,JP,1584716666,81,38.72,139.82,31.75,25.14
260,Ostrovnoy,100,RU,1584716666,75,68.05,39.51,18.05,13.4
261,Kargasok,100,RU,1584716666,97,59.06,80.86,33.01,12.84
262,Hargeisa,35,SO,1584716666,38,9.56,44.06,82.15,13.31
263,Harrisonburg,75,US,1584716438,68,38.45,-78.87,73.99,10.29
264,Wenling,0,CN,1584716667,78,28.37,121.36,57.0,6.51
265,Narva-Jõesuu,0,EE,1584716667,63,59.46,28.04,31.39,14.2
266,Trelew,15,AR,1584716667,27,-43.25,-65.31,72.95,18.59
267,Kununurra,13,AU,1584716667,74,-15.77,128.73,78.8,1.12
268,Umluj,0,SA,1584716667,32,25.02,37.27,69.91,10.2
269,Nuuk,40,GL,1584716497,57,64.18,-51.72,23.0,23.04
270,Clyde River,5,CA,1584716667,53,70.47,-68.59,-4.0,13.87
271,Caucaia,40,BR,1584716522,70,-3.74,-38.65,86.0,5.82
272,Coquimbo,90,CL,1584716668,82,-29.95,-71.34,60.8,2.24
273,Lingion,87,PH,1584716668,84,8.19,124.61,78.01,4.0
274,Lagoa,100,PT,1584716668,71,39.05,-27.98,58.55,15.3
275,Lavrentiya,100,RU,1584716668,90,65.58,-171.0,25.63,18.39
276,Vestmannaeyjar,75,IS,1584716585,86,63.44,-20.27,41.0,28.86
277,Bambous Virieux,75,MU,1584716668,61,-20.34,57.76,80.6,3.36
278,Hong Kong,40,HK,1584716586,94,22.29,114.16,73.0,11.41
279,Korla,100,CN,1584716669,39,41.76,86.15,43.63,4.43
280,Aksarka,32,RU,1584716669,93,66.56,67.8,3.31,7.58
281,Belaya Gora,26,RU,1584716669,87,68.53,146.42,-5.33,7.99
282,Arlit,62,NE,1584716669,6,18.74,7.39,104.11,11.99
